CAN,US,Virulence,Yr1,Yr5,Yr6,Yr7,Yr8,Yr9,Yr10,Yr15,Yr17,Yr24,Yr27,Yr32,Yr43,Yr44,YrSP,YrTr1,YrExp2,YrTye,
-,PSTv-223,"1,7,8,9,44",v,a,a,v,v,v,a,a,a,a,a,a,a,v,a,a,a,a,
-,PSTv-224,"6,7,8,10,17,24,27,32,43,44,Exp2",a,a,v,v,v,a,v,a,v,v,v,v,v,v,a,a,v,a,
-,PSTv-225,"1,6,7,9,27,43,44,SP,Exp2,Tye",v,a,v,v,a,v,a,a,a,a,v,a,v,v,v,a,v,v,
-,PSTv-226,"1,6,7,27,43,44,SP,Exp2,Tye",v,a,v,v,a,a,a,a,a,a,v,a,v,v,v,a,v,v,
-,PSTv-227,"1,6,7,9,27,43,44,SP,Exp2",v,a,v,v,a,v,a,a,a,a,v,a,v,v,v,a,v,a,
-,PSTv-228,"1,6,7,9,27,44,SP,Exp2,Tye",v,a,v,v,a,v,a,a,a,a,v,a,a,v,v,a,v,v,
-,PSTv-229,"1,6,7,8,9,43,44,SP,Exp2,Tye",v,a,v,v,v,v,a,a,a,a,a,a,v,v,v,a,v,a,
-,PSTv-230,"1,6,7,9,43,44,SP,Tye",v,a,v,v,a,v,a,a,a,a,a,a,v,v,v,a,a,v,
-,PSTv-231,"1,6,7,9,44,SP,Tye",v,a,v,v,a,v,a,a,a,a,a,a,a,v,v,a,a,v,
-,PSTv-232,"1,6,7,9,43,44,SP,Exp2",v,a,v,v,a,v,a,a,a,a,a,a,v,v,v,a,v,a,
-,PSTv-233,"1,6,7,8,17,27,43,44,Exp2",v,a,v,v,v,a,a,a,v,a,v,a,v,v,a,a,v,a,
-,PSTv-234,"1,6,7,9,Exp2,Tye",v,a,v,v,a,v,a,a,a,a,a,a,a,a,a,a,v,v,
-,PSTv-235,"7,9,43,44,SP,Exp2,Tye",a,a,a,v,a,v,a,a,a,a,a,a,v,v,v,a,v,v,
-,PSTv-236,"7,9,27,44,SP,Exp2,Tye",a,a,a,v,a,v,a,a,a,a,v,a,a,v,v,a,v,v,
-,PSTv-237,"6,7,9,27,44,Exp2,Tye",a,a,v,v,a,v,a,a,a,a,v,a,a,v,a,a,v,v,
-,PSTv-238,"1,9,27,44",v,a,a,a,a,v,a,a,a,a,v,a,a,v,a,a,a,a,
-,PSTv-240,"1,6,7,Exp2,Tye",v,a,v,v,a,a,a,a,a,a,a,a,a,a,a,a,v,v,
-,PSTv-241,"7,43",a,a,a,v,a,a,a,a,a,a,a,a,v,a,a,a,a,a,
-,PSTv-242,"1,6,7,9,17,27,43,44,SP,Exp2",v,a,v,v,a,v,a,a,v,a,v,a,v,v,v,a,a,a,
-,PSTv-243,"1,7,8,9,27,43,44,SP",v,a,a,v,v,v,a,a,a,a,v,a,v,v,v,a,a,a,
C-14,PSTv-244,"6,7,8,43,44,Tr1,Exp2",a,a,v,v,v,a,a,a,a,a,a,a,v,v,a,v,v,a,
-,PSTv-245,"1,6,7,8,17,43,44,Tr1,Exp2",v,a,v,v,v,a,a,a,v,a,a,a,v,v,a,v,v,a,
-,PSTv-246,"6,9,43,44,SP,Tye",a,a,v,a,a,v,a,a,a,a,a,a,v,v,v,a,a,v,
-,PSTv-247,"17,43,SP,Tye",a,a,a,a,a,a,a,a,v,a,a,a,v,a,v,a,a,v,
-,PSTv-248,"7,9,43",a,a,a,v,a,v,a,a,a,a,a,a,v,a,a,a,a,a,
-,PSTv-249,"1,6,8,9,44,SP,Exp2",v,a,v,a,v,v,a,a,a,a,a,a,a,v,v,a,v,a,
-,PSTv-250,"27,44,SP",a,a,a,a,a,a,a,a,a,a,v,a,a,v,v,a,a,a,
-,PSTv-251,"9,43,44",a,a,a,a,a,v,a,a,a,a,a,a,v,v,a,a,a,a,
-,PSTv-252,"1,6,9,17,44,SP",v,a,v,a,a,v,a,a,v,a,a,a,a,v,v,a,a,a,
-,PSTv-253,"1,6,7,43,Exp2,Tye",v,a,v,v,a,a,a,a,a,a,a,a,v,a,a,a,v,v,
-,PSTv-254,"1,6,7,17,27,43,44,SP,Exp2,Tye",v,a,v,v,a,a,a,a,v,a,v,a,v,v,v,a,v,a,
-,PSTv-255,"6,44,Tr1,Tye",a,a,v,a,a,a,a,a,a,a,a,a,a,v,a,v,a,v,
-,PSTv-256,"7,9,43,44,SP",a,a,a,v,a,v,a,a,a,a,a,a,v,v,v,a,a,a,
-,PSTv-257,"6,7,9,43,Tye",a,a,v,v,a,v,a,a,a,a,a,a,v,a,a,a,a,v,
-,PSTv-258,Tye,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,v,
-,PSTv-259,"6,7,8,9,43,44,SP,Exp2",a,a,v,v,v,v,a,a,a,a,a,a,v,v,v,a,v,a,
-,PSTv-260,"6,7,9,27,43,44,SP,Tye",a,a,v,v,a,v,a,a,a,a,v,a,v,v,v,a,a,v,
-,PSTv-261,"6,7,9,43,44,Tye",a,a,v,v,a,v,a,a,a,a,a,a,v,v,a,a,a,v,
-,PSTv-262,"7,8,9,17,27,43,44,Tr1",a,a,a,v,v,v,a,a,v,a,v,a,v,v,a,v,a,a,
-,PSTv-263,"1,43",v,a,a,a,a,a,a,a,a,a,a,a,v,a,a,a,a,a,
-,PSTv-264,"1,7,9,27,44,SP,Tye",v,a,a,v,a,v,a,a,a,a,v,a,a,v,v,a,a,v,
-,PSTv-265,"1,7,9,44,SP,Exp2,Tye",v,a,a,v,a,v,a,a,a,a,a,a,a,v,v,a,v,v,
-,PSTv-266,"1,6,7,17,43,44,SP,Exp2,Tye",v,a,v,v,a,a,a,a,v,a,a,a,v,v,v,a,v,v,
-,PSTv-267,"1,6,7,9,44,SP,Tr1,Tye",v,a,v,v,a,v,a,a,a,a,a,a,a,v,v,v,a,v,
-,PSTv-268,"1,6,7,9,17,Tye",v,a,v,v,a,v,a,a,v,a,a,a,a,a,a,a,a,v,
-,PSTv-269,"1,6,7,9,44,Exp2,Tye",v,a,v,v,a,v,a,a,a,a,a,a,a,v,a,a,v,v,
-,PSTv-270,"1,6,7,9,44,SP,Exp2,Tye",v,a,v,v,a,v,a,a,a,a,a,a,a,v,v,a,v,v,
-,PSTv-271,"6,7,9,44,Exp2,Tye",a,a,v,v,a,v,a,a,a,a,a,a,a,v,a,a,v,v,
-,PSTv-273,"1,6,7,9,43,44,SP,Tr1,Tye",v,a,v,v,a,v,a,a,a,a,a,a,v,v,v,v,a,v,
-,PSTv-274,"1,6,7,9,17,27,44,SP,Tye",v,a,v,v,a,v,a,a,v,a,v,a,a,v,v,a,a,v,
-,PSTv-275,"1,6,7,8,9,24,43,44,SP,Tye",v,a,v,v,v,v,a,a,a,v,a,a,v,v,v,a,a,a,
-,PSTv-276,"6,7,8,9,24,32,43,Tr1",a,a,v,v,v,v,a,a,a,v,a,v,v,a,a,v,a,a,
-,PSTv-277,"1,6,7,8,9,27,43,44,SP,Exp2,Tye",v,a,v,v,v,v,a,a,a,a,v,a,v,v,v,a,a,v,
-,PSTv-278,"1,6,7,9,17,43,44,SP,Exp2,Tye",v,a,v,v,a,v,a,a,v,a,a,a,v,v,v,a,v,v,
-,PSTv-279,"7,Exp2,Tye",a,a,a,v,a,a,a,a,a,a,a,a,a,a,a,a,v,v,
-,PSTv-280,"6,7,9,43,44,SP,Exp2,Tye",a,a,v,v,a,v,a,a,a,a,a,a,v,v,v,a,v,v,
-,PSTv-281,"1,6,9,44,SP,Exp2,Tye",v,a,v,a,a,v,a,a,a,a,a,a,a,v,v,a,v,a,
-,PSTv-282,"6,43,44,SP,Exp2",a,a,v,a,a,a,a,a,a,a,a,a,v,v,v,a,v,a,
-,PSTv-283,"6,7,8,9,17,27,43,44,Tr1",a,a,v,v,v,v,a,a,v,a,v,a,v,v,a,v,a,a,
-,PSTv-285,"1,7,8,9,27,44",v,a,a,v,v,v,a,a,a,a,v,a,a,v,a,a,a,a,
-,PSTv-286,"6,7,43,44,Exp2",a,a,v,v,a,a,a,a,a,a,a,a,v,v,a,a,v,a,
-,PSTv-287,"6,7,17,43,44,SP,Exp2",a,a,v,v,a,a,a,a,v,a,a,a,v,v,v,a,v,a,
-,PSTv-288,"6,7,17,27,43,44,SP,Exp2",a,a,v,v,a,a,a,a,v,a,v,a,v,v,v,a,v,a,
-,PSTv-289,"6,7,27,43,44,SP,Exp2",a,a,v,v,a,a,a,a,a,a,v,a,v,v,v,a,v,a,
-,PSTv-290,"17,44,Tr1",a,a,a,a,a,a,a,a,v,a,a,a,a,v,a,v,a,a,
-,PSTv-291,"17,43,SP,Tr1",a,a,a,a,a,a,a,a,v,a,a,a,v,a,v,v,a,a,
-,PSTv-293,"1,8",v,a,a,a,v,a,a,a,a,a,a,a,a,a,a,a,a,a,
-,PSTv-294,"1,6,7,17,27,43,44,Exp2",v,a,v,v,a,a,a,a,v,a,v,a,v,v,a,a,v,a,
-,PSTv-295,"1,6,7,8,9,10,27,43,44,SP",v,a,v,v,v,v,v,a,a,a,v,a,v,v,a,a,a,a,
-,PSTv-297,"1,6,7,8,9,27,43,44,Exp2",v,a,v,v,v,v,a,a,a,a,v,a,v,v,a,a,v,a,
-,PSTv-298,"1,6,7,9,17,27,43,44,Tr1,Exp2,Tye",v,a,v,v,a,v,a,a,v,a,v,a,v,v,a,v,a,a,
-,PSTv-299,"1,6,7,9,17,43,44,SP",v,a,v,v,a,v,a,a,v,a,a,a,v,v,v,a,a,a,
-,PSTv-300,"1,6,7,9,17,43,44,SP,Tr1,Exp2",v,a,v,v,a,v,a,a,v,a,a,a,v,v,v,v,a,a,
-,PSTv-301,"1,6,7,9,17,43,SP,Exp2",v,a,v,v,a,v,a,a,v,a,a,a,v,a,v,a,v,a,
-,PSTv-302,"1,6,8,9,27,SP,Tye",v,a,v,a,v,v,a,a,a,a,v,a,a,a,v,a,a,v,
-,PSTv-303,"17,43",a,a,a,a,a,a,a,a,v,a,a,a,v,a,a,a,a,a,
-,PSTv-304,43,a,a,a,a,a,a,a,a,a,a,a,a,v,a,a,a,a,a,
-,PSTv-305,"6,7,17,27,43,44,Exp2",a,a,v,v,a,a,a,a,v,a,v,a,v,v,a,a,v,a,
-,PSTv-306,"6,7,17,43,44,Exp2",a,a,v,v,a,a,a,a,v,a,a,a,v,v,a,a,v,a,
-,PSTv-307,"6,7,27,43,Exp2",a,a,v,v,a,a,a,a,a,a,v,a,v,a,a,a,v,a,
-,PSTv-308,"6,7,8,9,10,17,24,27,32,43,44,Tr1",a,a,v,v,v,v,v,a,v,v,v,v,v,v,a,v,a,a,
-,PSTv-309,"6,7,9,Exp2",a,a,v,v,a,v,a,a,a,a,a,a,a,a,a,a,v,a,
-,PSTv-310,"6,8,9",a,a,v,a,v,v,a,a,a,a,a,a,a,a,a,a,a,a,
-,PSTv-311,"7,8,43,44",a,a,a,v,v,a,a,a,a,a,a,a,v,v,a,a,a,a,
-,PSTv-312,"1,6,7,44,Exp2,Tye",v,a,v,v,a,a,a,a,a,a,a,a,a,v,a,a,v,v,
-,PSTv-313,"1,6,7,9,27,43,44,SP,Tye",v,a,v,v,a,v,a,a,a,a,v,a,v,v,v,a,a,v,
-,PSTv-314,"1,6,7,9,SP,Exp2,Tye",v,a,v,v,a,v,a,a,a,a,a,a,a,a,v,a,v,v,
-,PSTv-315,"17,SP,Tye",a,a,a,a,a,a,a,a,v,a,a,a,a,a,v,a,a,v,
-,PSTv-316,"1,6,7,8,9,17,27,44,SP,Tye",v,a,v,v,v,v,a,a,v,a,v,a,a,v,v,a,a,a,
C-100,PSTv-317,"6,7,8,9,17,43,44,Exp2",a,a,v,v,v,v,a,a,v,a,a,a,v,v,a,a,v,a,
-,PSTv-318,"1,6,7,8,9,17,27,44,Tye",v,a,v,v,v,v,a,a,v,a,v,a,a,v,a,a,a,v,
-,PSTv-319,"6,7,8,9,17,43,44,SP,Tr1,Exp2",a,a,v,v,v,v,a,a,v,a,a,a,v,v,v,v,v,a,
-,PSTv-320,"6,7,9,17,27,43,44,SP,Exp2",a,a,v,v,a,v,a,a,v,a,v,a,v,v,v,a,v,a,
-,PSTv-321,"1,7,8,9,44,Exp2,Tye",v,a,a,v,v,v,a,a,a,a,a,a,a,v,a,a,v,v,
-,PSTv-322,"1,6,8",v,a,v,a,v,a,a,a,a,a,a,a,a,a,a,a,a,a,
-,PSTv-324,"1,6,7,9,27,43,44,Tr1,Exp2,Tye",v,a,v,v,a,v,a,a,a,a,v,a,v,v,a,v,v,v,
-,PSTv-326,"1,6,7,8,9,10,17,24,27,32,43,44,Tr1,Exp2",v,a,v,v,v,v,v,a,v,v,v,v,v,v,a,v,v,a,
-,PSTv-327,"1,6,7,9,27,43,44,Exp2",v,a,v,v,a,v,a,a,a,a,v,a,v,v,a,a,v,a,
-,PSTv-328,"5,27",a,v,a,a,a,a,a,a,a,a,v,a,a,a,a,a,a,a,
-,PSTv-329,"8,9,43,44,Exp2",a,a,a,a,v,v,a,a,a,a,a,a,v,v,a,a,v,a,
-,PSTv-330,"6,10,17,24,32,Tr1",a,a,v,a,a,a,v,a,v,v,a,v,a,a,a,v,a,a,
-,PSTv-331,"1,6,9,SP,Exp2,Tye",v,a,v,a,a,v,a,a,a,a,a,a,a,a,v,a,v,v,
-,PSTv-332,"6,7,8,9,17,27,44,Exp2",a,a,v,v,v,v,a,a,v,a,v,a,a,v,a,a,v,a,
C-01,PSTv-019,6,a,a,v,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,
C-02,-,"27,44,Tr1,Exp2",a,a,a,a,a,a,a,a,a,a,v,a,a,v,a,v,v,a,
C-03,-,"43,44,Tr1,Exp2",a,a,a,a,a,a,a,a,a,a,a,a,v,v,a,v,v,a,
C-04,-,"6,10,17,Exp2",a,a,v,a,a,a,v,a,v,a,a,a,a,a,a,a,v,a,
C-05,PSTv-021,"6,17",a,a,v,a,a,a,a,a,v,a,a,a,a,a,a,a,a,a,
C-06,-,"6,17,43,Tr1",a,a,v,a,a,a,a,a,v,a,a,a,v,a,a,v,a,a,
C-07,-,"6,17,44,Tr1",a,a,v,a,a,a,a,a,v,a,a,a,a,v,a,v,a,a,
C-08,-,"6,17,SP",a,a,v,a,a,a,a,a,v,a,a,a,a,a,v,a,a,a,
C-09,-,"6,17,Tr1",a,a,v,a,a,a,a,a,v,a,a,a,a,a,a,v,a,a,
C-10,-,"6,17,Tr1,Exp2",a,a,v,a,a,a,a,a,v,a,a,a,a,a,a,v,v,a,
C-101,-,"6,7,8,9,17,27,43,44,SP,Tr1,Exp2,Tye",a,a,v,v,v,v,a,a,v,a,v,a,v,v,v,v,v,v,
C-102,-,"6,7,8,9,17,27,32,43,44,Tr1,Exp2,Tye",a,a,v,v,v,v,a,a,v,a,v,v,v,v,a,v,v,v,
C-103,-,"1,6,7,8,24,27,43,44",v,a,v,v,v,a,a,a,a,v,v,a,v,v,a,a,a,a,
C-104,-,"1,6,7,8",v,a,v,v,v,a,a,a,a,a,a,a,a,a,a,a,a,a,
C-105,-,"9,Tye",a,a,a,a,a,v,a,a,a,a,a,a,a,a,a,a,a,v,
C-11,-,"6,32,44,Tr1,Exp2",a,a,v,a,a,a,a,a,a,a,a,v,a,v,a,v,v,a,
C-12,PSTv-145,"6,7",a,a,v,v,a,a,a,a,a,a,a,a,a,a,a,a,a,a,
C-13,-,"6,7,17,SP",a,a,v,v,a,a,a,a,v,a,a,a,a,a,v,a,a,a,
C-15,PSTv-072,"6,7,8,9,10,17,24,27,32,43,44,Exp2",a,a,v,v,v,v,v,a,v,v,v,v,v,v,a,a,v,a,
C-16,-,"6,7,8,9,10,17,24,27,32,43,44,SP,Tr1,Exp2",a,a,v,v,v,v,v,a,v,v,v,v,v,v,v,v,v,a,
C-17,PSTv-041,"6,7,8,9,10,17,24,27,32,43,44,Tr1,Exp2",a,a,v,v,v,v,v,a,v,v,v,v,v,v,a,v,v,a,
C-18,-,"6,7,8,9,10,17,24,27,32,43,SP,Tr1,Exp2",a,a,v,v,v,v,v,a,v,v,v,v,v,a,v,v,v,a,
C-19,-,"6,7,8,9,10,17,24,27,43,44,Tr1,Exp2",a,a,v,v,v,v,v,a,v,v,v,a,v,v,a,v,v,a,
C-20,-,"6,7,8,9,10,17,24,27,44,Exp2",a,a,v,v,v,v,v,a,v,v,v,a,a,v,a,a,v,a,
C-21,-,"6,7,8,9,10,17,27,32,43,44,Tr1,Exp2",a,a,v,v,v,v,v,a,v,a,v,v,v,v,a,v,v,a,
C-22,-,"6,7,8,9,10,17,27,32,43,44,Tr1,Exp2,Tye",a,a,v,v,v,v,v,a,v,a,v,v,v,v,v,v,v,v,
C-23,-,"6,7,8,9,10,17,27,43,44,Tr1",a,a,v,v,v,v,v,a,v,a,v,a,v,v,a,v,a,a,
C-24,PSTv-039,"6,7,8,9,10,17,27,43,44,Tr1,Exp2",a,a,v,v,v,v,v,a,v,a,v,a,v,v,a,v,v,a,
C-25,PSTv-359,"6,7,8,9,10,17,27,44,Tr1,Exp2",a,a,v,v,v,v,v,a,v,a,v,a,a,v,a,v,v,a,
C-26,-,"6,7,8,9,10,17,27,Exp2",a,a,v,v,v,v,v,a,v,a,v,a,a,a,a,a,v,a,
C-27,PSTv-040,"6,7,8,9,10,24,27,32,43,44,Tr1,Exp2",a,a,v,v,v,v,v,a,a,v,v,v,v,v,a,v,v,a,
C-28,-,"6,7,8,9,10,24,27,43,44,Tr1,Exp2",a,a,v,v,v,v,v,a,a,v,v,a,v,v,a,v,v,a,
C-29,-,"6,7,8,9,17,24,27,32,43,44,Tr1",a,a,v,v,v,v,a,a,v,v,v,v,v,v,a,v,a,a,
C-30,PSTv-239,"6,7,8,9,17,24,27,32,43,44,Tr1,Exp2",a,a,v,v,v,v,a,a,v,v,v,v,v,v,a,v,v,a,
C-31,-,"6,7,8,9,17,24,27,32,43,Tr1,Exp2",a,a,v,v,v,v,a,a,v,v,v,v,v,a,a,v,v,a,
C-32,-,"6,7,8,9,17,24,27,43,44,Exp2",a,a,v,v,v,v,a,a,v,v,v,a,v,v,a,a,v,a,
C-33,-,"6,7,8,9,17,24,27,43,44,SP,Exp2",a,a,v,v,v,v,a,a,v,v,v,a,v,v,v,a,v,a,
C-34,PSTv-038,"6,7,8,9,17,24,27,43,44,Tr1,Exp2",a,a,v,v,v,v,a,a,v,v,v,a,v,v,a,v,v,a,
C-35,-,"6,7,8,9,17,24,43,44,Tr1,Exp2",a,a,v,v,v,v,a,a,v,v,a,a,v,v,a,v,v,a,
C-36,-,"6,7,8,9,17,24,44,Exp2",a,a,v,v,v,v,a,a,v,v,a,a,a,v,a,a,v,a,
C-37,-,"6,7,8,9,17,24,44,Tr1,Exp2",a,a,v,v,v,v,a,a,v,v,a,a,a,v,a,v,v,a,
C-38,-,"6,7,8,9,17,27,32,43,44,Exp2",a,a,v,v,v,v,a,a,v,a,v,v,v,v,a,a,v,a,
C-39,PSTv-296,"6,7,8,9,17,27,32,43,44,Tr1,Exp2",a,a,v,v,v,v,a,a,v,a,v,v,v,v,a,v,v,a,
C-40,PSTv-292,"6,7,8,9,17,27,32,44,Tr1,Exp2",a,a,v,v,v,v,a,a,v,a,v,v,a,v,a,v,v,a,
C-41,PSTv-052,"6,7,8,9,17,27,43,44,Exp2",a,a,v,v,v,v,a,a,v,a,v,a,v,v,a,a,v,a,
C-42,-,"6,7,8,9,17,27,43,44,SP,Tr1",a,a,v,v,v,v,a,a,v,a,v,a,v,v,v,v,a,a,
C-43,PSTv-037,"6,7,8,9,17,27,43,44,Tr1,Exp2",a,a,v,v,v,v,a,a,v,a,v,a,v,v,a,v,v,a,
C-44,PSTv-018,none,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,
C-45,PSTv-034,"6,7,8,9,17,27,44,Tr1,Exp2",a,a,v,v,v,v,a,a,v,a,v,a,a,v,a,v,v,a,
C-46,-,"6,7,8,9,17,32,43,44,Tr1,Exp2",a,a,v,v,v,v,a,a,v,a,a,v,v,v,a,v,v,a,
C-47,-,"6,7,8,9,17",a,a,v,v,v,v,a,a,v,a,a,a,a,a,a,a,a,a,
C-48,-,"6,7,8,9,17,44,Exp2",a,a,v,v,v,v,a,a,v,a,a,a,a,v,a,a,v,a,
C-49,PSTv-031,"6,7,8,9,17,44,Tr1,Exp2",a,a,v,v,v,v,a,a,v,a,a,a,a,v,a,v,v,a,
C-50,-,"6,7,8,9,17,Tr1,Exp2",a,a,v,v,v,v,a,a,v,a,a,a,a,a,a,v,v,a,
C-51,-,"6,7,8,9,24,44,Tr1,Exp2",a,a,v,v,v,v,a,a,a,v,a,a,a,v,a,v,v,a,
C-52,PSTv-325,"6,7,8,9,27,32,43,44,Tr1,Exp2",a,a,v,v,v,v,a,a,a,a,v,v,v,v,a,v,v,a,
C-53,-,"6,7,8,9,27,43,44,SP,Exp2",a,a,v,v,v,v,a,a,a,a,v,a,v,v,v,a,v,a,
C-54,-,"6,7,8,9,27,43,Exp2",a,a,v,v,v,v,a,a,a,a,v,a,v,a,a,a,v,a,
C-55,-,"6,7,8,9,32,44,Tr1",a,a,v,v,v,v,a,a,a,a,a,v,a,v,a,v,a,a,
C-56,PSTv-284,"6,7,8,9,43,44,Exp2",a,a,v,v,v,v,a,a,a,a,a,a,v,v,a,a,v,a,
C-57,PSTv-272,"6,7,8,9,44,Exp2",a,a,v,v,v,v,a,a,a,a,a,a,a,v,a,a,v,a,
C-58,PSTv-030,"6,7,8,9,44,Tr1,Exp2",a,a,v,v,v,v,a,a,a,a,a,a,a,v,a,v,v,a,
C-59,-,"6,7,9,10,17,24,27,43,44,Tr1,Exp2",a,a,v,v,a,v,v,a,v,v,v,a,v,v,a,v,v,a,
C-60,PSTv-366,"6,7,9,10,17,44,Tr1,Exp2",a,a,v,v,a,v,v,a,v,a,a,a,a,v,a,v,v,a,
C-61,-,"6,7,9,17,24,44,Tr1,Exp2",a,a,v,v,a,v,a,a,v,v,a,a,a,v,a,v,v,a,
C-62,-,"6,7,9,17,24,Tr1",a,a,v,v,a,v,a,a,v,v,a,a,a,a,a,v,a,a,
C-63,PSTv-028,"6,7,9,17,44,Exp2",a,a,v,v,a,v,a,a,v,a,a,a,a,v,a,a,v,a,
C-64,-,"6,7,9,17,44,Tr1,Exp2",a,a,v,v,a,v,a,a,v,a,a,a,a,v,a,v,v,a,
C-65,-,"6,7,9,17,Exp2",a,a,v,v,a,v,a,a,v,a,a,a,a,a,a,a,v,a,
C-66,-,"6,7,9,43,44,Tr1,Exp2",a,a,v,v,a,v,a,a,a,a,a,a,v,v,a,v,v,a,
C-67,-,"6,7,9,44,Tr1,Exp2",a,a,v,v,a,v,a,a,a,a,a,a,a,v,a,v,v,a,
C-69,-,"6,8,10,17,32,43,Tr1",a,a,v,a,v,a,v,a,v,a,a,v,v,a,a,v,a,a,
C-70,-,"6,8,9,24,44,Tr1,Exp2",a,a,v,a,v,v,a,a,a,v,a,a,a,v,a,v,v,a,
C-71,-,"6,9,17,Tr1,Exp2",a,a,v,a,a,v,a,a,v,a,a,a,a,a,a,v,v,a,
C-73,-,"6,9,44",a,a,v,a,a,v,a,a,a,a,a,a,a,v,a,a,a,a,
C-74,-,"6,Exp2",a,a,v,a,a,a,a,a,a,a,a,a,a,a,a,a,v,a,
C-75,-,"6,SP,Tr1",a,a,v,a,a,a,a,a,a,a,a,a,a,a,v,v,a,a,
C-76,-,"6,Tr1",a,a,v,a,a,a,a,a,a,a,a,a,a,a,a,v,a,a,
C-77,PSTv-025,"7,17,44,Exp2",a,a,a,v,a,a,a,a,v,a,a,a,a,v,a,a,v,a,
C-78,-,"7,17,44,Tr1",a,a,a,v,a,a,a,a,v,a,a,a,a,v,a,v,a,a,
C-79,-,"7,17,Tr1,Exp2",a,a,a,v,a,a,a,a,v,a,a,a,a,a,a,v,v,a,
C-80,-,"7,24,Exp2",a,a,a,v,a,a,a,a,a,v,a,a,a,a,a,a,v,a,
C-81,-,"7,27",a,a,a,v,a,a,a,a,a,a,v,a,a,a,a,a,a,a,
C-82,PSTv-024,"7,44,Exp2",a,a,a,v,a,a,a,a,a,a,a,a,a,v,a,a,v,a,
C-83,-,"7,8,9,10,17,24,27,32,43,44,Tr1,Exp2",a,a,a,v,v,v,v,a,v,v,v,v,v,v,a,v,v,a,
C-84,-,"7,8,9,10,17,24,27,43,44,SP,Exp2",a,a,a,v,v,v,v,a,v,v,v,a,v,v,v,a,v,a,
C-85,-,"7,8,9,17,24,44,Tr1,Exp2",a,a,a,v,v,v,a,a,v,v,a,a,a,v,a,v,v,a,
C-86,-,"7,9,17,43,44,Tr1,Exp2",a,a,a,v,a,v,a,a,v,a,a,a,v,v,a,v,v,a,
C-87,-,"7,9,Tr1,Exp2",a,a,a,v,a,v,a,a,a,a,a,a,a,a,a,v,v,a,
C-88,PSTv-063,"7,Exp2",a,a,a,v,a,a,a,a,a,a,a,a,a,a,a,a,v,a,
C-89,-,"7,SP,Tr1,Exp2",a,a,a,v,a,a,a,a,a,a,a,a,a,a,v,v,v,a,
C-90,-,"6,7,8,9,10,17,24,27,43,44,Tr1",a,a,v,v,v,v,v,a,v,v,v,a,v,v,a,v,a,a,
C-91,-,"6,7,8,9,10,17,24,27,32,43,Tr1,Exp2",a,a,v,v,v,v,v,a,v,v,v,v,v,a,a,v,v,a,
C-92,-,"6,7,8,9,10,17,43,44,Tr1,Exp2",a,a,v,v,v,v,v,a,v,a,a,a,v,v,a,v,v,a,
C-93,-,"6,7,8,9,17,24,27,32,43,44,Exp2",a,a,v,v,v,v,a,a,v,v,v,v,v,v,a,a,v,a,
C-94,-,"6,7,8,9,17,24,32,43,44,SP,Tr1",a,a,v,v,v,v,a,a,v,v,a,v,v,v,v,v,a,a,
C-95,-,"6,7,8,9,24,SP,Tr1",a,a,v,v,v,v,a,a,a,v,a,a,a,a,v,v,a,a,
C-96,-,"6,7,8,9,17,27,43,44,Tr1,Exp2,Tye",a,a,v,v,v,v,a,a,v,a,v,a,v,v,a,v,v,v,
C-97,-,"6,7,8,9,17,43,Exp2",a,a,v,v,v,v,a,a,v,a,a,a,v,a,a,a,v,a,
C-98,PSTv-073,"6,7,8,9,17,27,43,44,Exp2,Tye",a,a,v,v,v,v,a,a,v,a,v,a,v,v,a,a,v,v,
C-99,-,"6,7,8,9,17,27,43,44,Tye",a,a,v,v,v,v,a,a,v,a,v,a,v,v,a,a,a,v,
